epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,1170.21,0.3324,0.34792,0.89429,0.98288,0.75,0.76692,0.74357,0.20871,0.28096,0.65758,0.000379743,0.000379743,0.000379743
119,1179.9,0.29434,0.34683,0.88487,0.9807,0.75,0.76942,0.7468,0.20295,0.283,0.6558,0.00036874,0.00036874,0.00036874
120,1189.65,0.29393,0.34293,0.87157,0.98305,0.75,0.76677,0.74605,0.20743,0.29627,0.65503,0.000357738,0.000357738,0.000357738
121,1199.42,0.30555,0.36316,0.87978,0.99176,0.75,0.75893,0.74318,0.22069,0.29795,0.65736,0.000346736,0.000346736,0.000346736
122,1209.15,0.32341,0.34841,0.85151,0.99286,0.75,0.76544,0.7448,0.23315,0.30829,0.65999,0.000335734,0.000335734,0.000335734
123,1218.9,0.30656,0.33948,0.87786,0.99318,0.75,0.76458,0.74466,0.23246,0.30011,0.66123,0.000324732,0.000324732,0.000324732
124,1228.66,0.3102,0.33491,0.89389,0.99411,0.75,0.77352,0.74326,0.22847,0.2953,0.66439,0.000313729,0.000313729,0.000313729
125,1238.35,0.28659,0.32812,0.87425,0.99429,0.75,0.77326,0.73904,0.2309,0.29232,0.66432,0.000302727,0.000302727,0.000302727
126,1248.1,0.31205,0.33863,0.90906,0.99381,0.75,0.77333,0.73901,0.22901,0.28438,0.66386,0.000291725,0.000291725,0.000291725
127,1257.82,0.28273,0.34095,0.85063,0.99348,0.75,0.75837,0.73269,0.22759,0.29133,0.66332,0.000280723,0.000280723,0.000280723
128,1267.56,0.3098,0.33979,0.86356,0.99321,0.75,0.7563,0.73718,0.21278,0.2882,0.66096,0.000269721,0.000269721,0.000269721
129,1277.38,0.28508,0.31791,0.84109,0.99374,0.75,0.75599,0.73745,0.20464,0.28053,0.65943,0.000258718,0.000258718,0.000258718
130,1287.08,0.26594,0.31798,0.85352,0.99431,0.75,0.75788,0.74279,0.20098,0.27526,0.65801,0.000247716,0.000247716,0.000247716
131,1296.77,0.2686,0.3261,0.86068,0.99449,0.75,0.76111,0.74356,0.19802,0.26773,0.65669,0.000236714,0.000236714,0.000236714
132,1306.57,0.26645,0.30889,0.8568,0.9949,0.75,0.75888,0.74719,0.18509,0.25984,0.65439,0.000225712,0.000225712,0.000225712
133,1316.3,0.30206,0.31829,0.85474,0.99433,0.75,0.7596,0.74742,0.17475,0.25256,0.65344,0.00021471,0.00021471,0.00021471
134,1326.03,0.28184,0.32871,0.88514,0.99393,0.75,0.75979,0.74775,0.17088,0.25032,0.65257,0.000203707,0.000203707,0.000203707
135,1335.68,0.29891,0.34005,0.87661,0.99388,0.75,0.75976,0.74707,0.17437,0.25186,0.65217,0.000192705,0.000192705,0.000192705
136,1345.46,0.28652,0.32213,0.88424,0.99368,0.75,0.75906,0.74685,0.17945,0.24146,0.65201,0.000181703,0.000181703,0.000181703
